交易时间,金额,收支类型,交易对方,交易描述,支付方式,交易状态,订单号,备注,原始来源
2025-02-15 00:00:00,-15.0,支出,财付通－https:www.apple.comcnitunescharts,财付通－https:www.apple.comcnitunescharts,中信银行信用卡(5878),成功,,入账日期:2025-02-15,中信银行-已出账单明细-10.xls
2025-02-14 00:00:00,-38.0,支出,财付通－喜茶,财付通－喜茶,中信银行信用卡(5878),成功,,入账日期:2025-02-14,中信银行-已出账单明细-10.xls
2025-02-12 00:00:00,-23.9,支出,财付通－美团平台商户,财付通－美团平台商户,中信银行信用卡(5878),成功,,入账日期:2025-02-12,中信银行-已出账单明细-10.xls
2025-02-10 00:00:00,-991.18,支出,财付通－京东商城平台商户,财付通－京东商城平台商户,中信银行信用卡(5878),成功,,入账日期:2025-02-10,中信银行-已出账单明细-10.xls
2025-02-08 00:00:00,-1849.0,支出,财付通－京东商城平台商户,财付通－京东商城平台商户,中信银行信用卡(5878),成功,,入账日期:2025-02-12,中信银行-已出账单明细-10.xls
2025-02-08 00:00:00,-16.05,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-08,中信银行-已出账单明细-10.xls
2025-02-08 00:00:00,-5468.0,支出,财付通－京东商城平台商户,财付通－京东商城平台商户,中信银行信用卡(5878),成功,,入账日期:2025-02-08,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-15.8,支出,支付宝－君安药房万科云城分店,支付宝－君安药房万科云城分店,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-23.86,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-21.0,支出,支付宝－华科大协和深圳医院门诊部,支付宝－华科大协和深圳医院门诊部,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-18.33,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-4.9,支出,财付通－重庆奥特乐,财付通－重庆奥特乐,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-07 00:00:00,-25.92,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-07,中信银行-已出账单明细-10.xls
2025-02-06 00:00:00,-35.68,支出,财付通－足购鲜生超市蓝湖国际店,财付通－足购鲜生超市蓝湖国际店,中信银行信用卡(5878),成功,,入账日期:2025-02-06,中信银行-已出账单明细-10.xls
2025-02-06 00:00:00,-43.0,支出,支付宝－中国铁路网络有限公司,支付宝－中国铁路网络有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-06,中信银行-已出账单明细-10.xls
2025-02-06 00:00:00,-9.31,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-06,中信银行-已出账单明细-10.xls
2025-02-06 00:00:00,-43.0,支出,支付宝－中国铁路网络有限公司,支付宝－中国铁路网络有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-06,中信银行-已出账单明细-10.xls
2025-02-06 00:00:00,-7.96,支出,支付宝－北京嘀嘀无限科技发展有限公司,支付宝－北京嘀嘀无限科技发展有限公司,中信银行信用卡(5878),成功,,入账日期:2025-02-06,中信银行-已出账单明细-10.xls
2025-02-05 00:00:00,-5000.0,支出,网银互联还款2323,网银互联还款2323,中信银行信用卡(5878),成功,,入账日期:2025-02-05,中信银行-已出账单明细-10.xls
